FY,CollDate,Sample,StationID,WaterbodyName,Location,PH,COND (µs/cm),DO,TEMP,ALKALINITY [mg/L],ARSENIC DIS [ug/L],COPPER DIS [ug/L],CHLORIDE [mg/L],HARDNESS TOT [mg/L],IRON DIS [ug/L],IRON TREC [ug/L],MANGANESE DIS [ug/L],AMMONIA [mg/L],NO5 [mg/L],N-KJELDAHL [mg/L],NITROGEN TOT [mg/L],PHOSPHORUS [mg/L],SELENIUM [ug/L],SULFATE [mg/L],ZINC [ug/L],TSS [mg/L]
FY10,8/5/2009,Routine Sample,7263,Cripple Creek,above Arequa Gulch,7.94,1130,7.16,21.73,120,<1,8,170,200,56,190,570,<0.03,15.3,0.73,16,1.99,<1,68,53,<10
FY10,8/25/2009,Routine Sample,5628,Clear Creek,100 yds below Argo Discharge,7.93,172.7,6.15,13.86,33,<1,<5,7,62,51,130,45,<0.03,0.14,<0.5,0.14,<0.01,<1,43,55,<10
FY10,8/25/2009,Routine Sample,5638,West Fork Clear Creek,below Woods Creek,7.76,414,5.84,11.25,22,<1,<5,6,140,28,140,310,<0.03,0.21,<0.5,0.21,<0.01,<1,180,27,<10
FY10,8/25/2009,Routine Sample,5642,Clear Creek,above Georgetown Reservoir,8.02,142.2,9.1,8.74,44,<1,<5,6,53,47,69,9,<0.03,0.15,<0.5,0.15,<0.01,<1,12,130,<10
FY10,8/26/2009,Routine Sample,5634,Clear Creek,below West Fork,7.84,197.7,7.5,13.54,35,<1,<5,6,69,78,140,54,<0.03,0.21,<0.5,0.21,0.01,<1,45,34,<10
FY10,8/27/2009,Routine Sample,5665,North Fork Clear Creek,above Chase Gulch,7.22,125.9,,11.62,27,<1,<5,12,40,42,43,62,<0.03,<0.05,<0.5,<0.5,<0.01,<1,11,78,<10
FY10,8/28/2009,Routine Sample,5648A,Clear Creek,at Silver Plume,8.08,135.4,8.78,8.71,43,<1,<5,7,53,78,96,8,<0.03,0.15,<0.5,0.15,<0.01,<1,8,64,<10
FY10,8/31/2009,Routine Sample,USFS-36311,Crosby Creek,100 m below Road Crossing,7.01,803,,14.28,38,<1,<5,<2,34,55,71,5,<0.03,<0.05,<0.5,<0.5,<0.01,<1,4,<10,
FY10,8/31/2009,Routine Sample,USFS-363408,Colorado Creek,below confluence of 3 forks,6.48,1039,,12.5,52,2.1,<5,<2,45,170,220,20,<0.03,<0.05,<0.5,<0.5,0.02,<1,6,<10,
FY10,8/31/2009,Routine Sample,USFS-364034,Little Grizzly Creek,30 m above headgate,5.6,1331,,14.39,38,<1,<5,<2,30,220,240,9,<0.03,<0.05,<0.5,<0.5,0.01,<1,<3,<10,
FY10,9/1/2009,Routine Sample,151,Slate River,below Coal Creek,7.71,20.3,7.75,12.63,70,<1,<5,3,87,87,210,82,<0.03,0.073,<0.5,0.073,0.05,<1,22,11,
FY10,9/1/2009,Routine Sample,USFS-363463,Whalen Creek,0.6 miles abv FR 615,5.6,,,10.5,20,<1,<5,<2,18,270,290,8,<0.03,<0.05,<0.5,<0.5,<0.01,<1,<3,<10,
FY10,9/1/2009,Routine Sample,USFS-364785,Chedsey Creek,at Routt NF boundary,5.6,792,7.06,13.39,40,<1,<5,<2,36,350,390,35,<0.03,<0.05,<0.5,<0.5,<0.01,<1,<3,<10,
FY10,9/1/2009,Routine Sample,USFS-365215,Newcomb Creek,0.7 miles blw FR 615,5.6,,,10.5,38,<1,<5,<2,37,410,540,10,<0.03,<0.05,<0.5,<0.5,<0.01,<1,5,<10,
FY10,9/1/2009,Routine Sample,USFS-365274,Grizzly Creek,0.8 miles abv Highway 14,5.69,872,,16.06,37,1.3,<5,3,36,390,420,10,<0.03,<0.05,<0.5,<0.5,0.06,<1,<3,<10,
FY10,9/2/2009,Routine Sample,10403,North Fork Gunnison River,abv Leroux Creek at 34 Rd.,8.24,1650,10.4,19.95,260,<1,<5,42,800,29,240,89,<0.03,<0.05,<0.5,<0.5,0.02,4.4,620,<10,
FY10,9/2/2009,Routine Sample,10404G,North Fork Gunnison River,above Paonia WWTP,8.11,767.7,7.89,15.45,270,<1,<5,10,340,35,97,57,<0.03,<0.05,<0.5,<0.5,<0.01,1.1,110,<10,
FY10,9/2/2009,Routine Sample,10406D,North Fork Gunnison River,blw Bear Ck @ Hwy 133 Bridge,8.28,239.6,8.79,13.69,110,<1,<5,3,92,23,260,7,<0.03,<0.05,<0.5,<0.5,0.01,<1,6,<10,
FY10,9/2/2009,Routine Sample,USFS-376014,Indian Creek,at Routt NF boundary,7.15,1436,7.06,14.06,72,<1,<5,<2,55,2000,3300,33,<0.03,<0.05,0.53,0.53,0.18,<1,4,<10,
FY10,9/2/2009,Routine Sample,USFS-381852,South Fork Arapaho Creek,above confluence with MF Arapaho Cr,5.69,833,7.06,10.39,39,<1,<5,<2,34,690,1100,54,<0.03,<0.05,<0.5,<0.5,0.13,<1,<3,<10,
FY10,9/2/2009,Routine Sample,USFS-382557,Middle Fork Arapaho Creek,above confluence with SF Arapaho Cr,8.19,867,7.22,12.67,44,<1,<5,<2,36,250,380,9,<0.03,<0.05,<0.5,<0.5,0.1,<1,<3,<10,
FY10,9/15/2009,Routine Sample,12564,Homestake Creek,@ FR 703 @ GAGE,6.92,47,,9.49,32,<1,<5,<2,19,400,610,64,<0.03,<0.05,<0.5,<0.5,<0.01,<1,4,<10,
FY10,9/16/2009,Routine Sample,12710,Roaring Fork River,below Basalt,8.65,365.1,,13.58,180,<1,<5,3,160,28,4500,5,<0.03,0.071,<0.5,0.071,0.03,<1,76,<10,
FY10,9/16/2009,Routine Sample,12780,Roaring Fork River,at Fother Gill,8.71,455.3,,12.43,100,<1,<5,4,210,11,36,5,<0.03,0.22,<0.5,0.51,0.06,<1,130,<10,
FY10,9/16/2009,Routine Sample,12783,Roaring Fork River,below Aspen,,417.4,8.93,8.77,100,<1,<5,3,190,22,32,3,<0.03,0.15,<0.5,0.15,<0.01,<1,120,13,
FY10,9/16/2009,Routine Sample,12786,Roaring Fork River,at Difficult Creek Campground,,84.8,8.74,9.72,29,<1,<5,<2,34,17,30,<2,<0.03,<0.05,<0.5,<0.5,<0.01,<1,12,<10,
FY10,9/17/2009,Routine Sample,12797,Hunter Creek,at Red Mnt Bridge nr Aspen,,125.1,8.27,12.44,50,<1,<5,<2,51,68,99,4,<0.03,<0.05,<0.5,<0.5,<0.01,<1,10,<10,
FY10,9/17/2009,Routine Sample,12761D,Brush Creek,at Brush Creek Rd.,8.42,491.2,8.42,15.4,170,1.2,<5,14,220,40,630,14,<0.03,0.95,0.53,1.5,0.22,<1,65,<10,
FY10,9/18/2009,Routine Sample,142,Eagle River,at Redcliff,8.25,222,,7.42,100,<1,<5,2,110,95,210,6,<0.03,<0.05,<0.5,<0.5,0.01,<1,12,<10,
FY10,9/18/2009,Routine Sample,12703A,Roaring Fork River,at Aspen Glen,8.32,485.5,8.95,12.04,130,<1,<5,5,210,16,44,7,<0.03,0.14,<0.5,0.14,0.03,<1,110,<10,
FY10,9/22/2009,Routine Sample,5611,Clear Creek,below Croke Canal,7.7,281.1,6.79,14.13,40,<1,<5,18,84,71,1600,130,<0.03,0.17,<0.5,0.17,0.04,<1,59,56,
FY10,9/22/2009,Routine Sample,5612,Clear Creek,below Wannamaker Canal,7.7,280.3,7.01,14.59,39,<1,<5,18,91,64,1800,64,<0.03,0.17,<0.5,0.17,0.04,<1,59,65,
FY10,9/22/2009,Routine Sample,5616,Clear Creek,at Trestle bridge,7.7,286.1,7.34,12.12,40,<1,<5,19,91,50,750,72,<0.03,0.18,<0.5,0.58,0.02,<1,60,75,
FY10,9/22/2009,Routine Sample,5618,Clear Creek,below Farmers Highline Canal,7.7,280.4,7.06,14.6,42,<1,5,20,95,38,880,82,<0.03,0.2,<0.5,0.2,0.03,<1,61,79,
FY10,9/22/2009,Routine Sample,5620,Clear Creek,at Ford St bridge,7.6,269.8,9.13,6.16,36,<1,<5,16,90,47,680,100,<0.03,0.19,<0.5,0.52,0.02,<1,58,110,
FY10,9/23/2009,Routine Sample,5606,Clear Creek,at I-70 bridge,7.88,389.8,8.49,14.29,82,<1,<5,29,330,45,900,15,0.35,0.49,0.91,1.4,0.38,<1,64,<10,
FY10,9/23/2009,Routine Sample,5609,Clear Creek,blw McIntyre St,7.84,264.5,9.07,13.76,46,<1,<5,17,100,52,620,110,<0.03,0.13,<0.5,0.51,0.03,<1,62,49,
FY10,6/15/2010,Routine Sample,5251,Cherry Creek,at Inlet to Cherry Creek Reservoir,7.84,970.2,,22.74,200,3,7,72,240,19,2200,76,0.037,0.81,0.67,1.5,0.28,2.4,130,<10,55
FY10,6/15/2010,Routine Sample,5821,Plum Creek,at Titan Rd.,7.72,354.2,,20.53,84,<1,<5,31,94,52,4200,15,<0.03,0.23,0.42,0.65,0.11,<1,26,<10,130
FY10,6/15/2010,Routine Sample,7293,Wildhorse Creek,at confl. w/ Arkansas R.,7.7,3177,4.14,14.4,140,1.5,1.3,38,470,23,420,54,0.033,8.1,0.95,9,0.44,107,460,19,11
FY10,6/15/2010,Routine Sample,7304,Monument Creek,d/s Tri-Lakes WWTP,7.12,313.4,,18.24,64,<1,10,35,70,120,440,37,0.15,1,0.69,1.7,1.9,<1,13,16,<10
FY10,6/15/2010,Routine Sample,7310,East Fork Sand Creek,at Powers Ave.,7.95,1599,,20.99,320,<1,11,190,130,48,530,35,42,1.1,53.3,54.4,6.9,1.8,100,<10,29
FY11,7/13/2010,Routine Sample,9871,McElmo Creek,abv Trail Canyon @ Gage,8.4,1237,7.36,22.36,220,,<5,,520,18,5600,12,<0.03,0.27,0.62,,0.23,<1,500,<10,
FY11,7/14/2010,Routine Sample,8348,Alamosa River,at Gomez,7.49,187,7.56,16.24,13,,5,,64,54,500,200,<0.03,<0.03,<0.1,,0.014,<1,62,<10,
FY11,7/20/2010,Routine Sample,7306,Fountain Creek,at Nevada Ave,8.24,705,7.41,23.1,120,,<5,,190,20,1200,18,<0.03,2.6,0.63,,0.17,2.4,23,18,
FY11,7/28/2010,Routine Sample,7182,Arkansas River,below Leadville,8.05,176,7.04,17.26,57,,<5,,84,150,310,26,<0.03,0.11,<0.1,,0.024,<1,36,42,
FY11,8/1/2010,Routine Sample,5971A3,Trout Creek,below Manitou Reservoir Lake,9.31,307.4,,20.88,96,<1,<5,29,110,79,670,17,0.063,0.25,0.43,0.68,0.15,<1,10,<10,17
FY11,8/2/2010,Routine Sample,5971A2,Trout Creek,u/s of confluence with West Cr.,8.16,316.2,,21.83,110,1.7,<5,20,110,110,660,130,<0.03,0.073,<0.1,<0.1,0.044,<1,11,<10,<10
FY11,8/2/2010,Routine Sample,5978,Fourmile Creek,at YMCA,7.95,152,7.03,20.18,46,<1,<5,2,58,120,390,14,<0.03,0.33,<0.1,0.33,0.034,<1,13,<10,<10
FY11,8/2/2010,Routine Sample,5977,Sugar Creek,at County Road 67,7.95,170.5,7.77,14.32,60,<1,<5,2,67,33,200,<2,<0.03,0.059,<0.1,<0.1,0.011,<1,10,<10,<10
FY11,8/2/2010,Routine Sample,5976A,Pine Creek,at mouth,8.07,231.4,7.62,16.2,42,<1,<5,16,87,39,530,2,<0.03,0.15,<0.1,0.15,0.021,<1,10,<10,<10
FY11,8/3/2010,Routine Sample,5971D1,Trail Creek,1 mile above mouth,7.47,176.9,,17.69,69,<1,<5,3,72,320,3400,73,<0.03,0.19,<0.1,0.28,0.16,<1,8,<10,52
FY11,8/3/2010,Routine Sample,5971A1,Horse Creek,at mouth,7.96,299,,23.11,90,1,<5,38,110,250,2100,120,<0.03,0.16,<0.1,0.16,0.056,<1,15,<10,27
FY11,8/3/2010,Routine Sample,5773,Bear Creek,at Waconda Park,7.38,116.7,7.09,15.63,36,<1,<5,3,40,77,160,8,<0.03,0.047,<0.1,<0.1,0.011,<1,8,<10,<10
FY11,8/10/2010,Routine Sample,7265,Cripple Creek,Abv Squaw Gulch - blw Cripple Creek WWTP,7.98,1241,6.67,19.54,140,,<5,,230,20,130,380,<0.03,12.2,0.57,,0.27,<1,81,19,
FY11,8/17/2010,Routine Sample,8337,La Jara Creek,at La Jara State Wildlife Area,8.48,144.2,6.79,22.41,80,,<5,,51,140,570,18,<0.03,<0.03,0.66,,0.15,<1,<3,<10,
FY11,8/18/2010,Routine Sample,8704K,Conejos River,at Hwy 17 @ FR 250,7.75,50.59,8.66,12.59,30,,<5,,3.1,<10,63,<2,<0.03,<0.03,0.29,,0.15,<1,<3,<10,
FY11,8/18/2010,Routine Sample,8704,Conejos River,"at Counselors Cabin, near Mogote",7.99,56.52,7.88,17.85,27,,<5,,23,63,230,7,0.032,<0.03,0.35,,0.15,<1,3,<10,
FY11,8/18/2010,Routine Sample,8300,Rio Grande River,"at Costilla County Rd G, old state bridge",8.99,366,10.26,25.17,140,,<5,,94,84,880,29,<0.03,<0.03,0.81,,0.22,<1,36,<10,
FY11,8/30/2010,Routine Sample,5605,Clear Creek,at Youngfield St,9.84,517.2,6.09,20.63,180,<1,<5,46,140,190,190,150,0.27,0.57,1.11,1.7,1.73,<1,51,<10,<10
FY11,8/30/2010,Routine Sample,5602,Clear Creek,at Tennyson,9.93,477.3,7.25,19.07,150,<1,<5,40,150,110,460,69,0.049,0.38,0.7,1.1,1.19,<1,55,46,<10
FY11,8/30/2010,Routine Sample,5601,Clear Creek,at Pecos Street,9.91,557.8,8.39,20.9,170,1.4,<5,51,170,110,450,130,0.089,0.29,0.75,1.04,1.3,<1,81,35,<10
FY11,8/30/2010,Routine Sample,34,Clear Creek,near mouth,9.91,843.8,9.56,22.41,210,1.7,<5,100,240,55,360,77,0.033,0.23,0.68,0.9,0.38,<1,99,22,<10
FY11,8/31/2010,Routine Sample,7316,Fountain Creek,at Circle Drive,7.02,694.8,7.8,19.32,120,<1,<5,49,170,140,780,41,0.06,2.7,1.13,3.8,0.37,2.1,130,37,27
FY11,8/31/2010,Routine Sample,7320,Fountain Creek,in Fountain @ Hwy 85-87,7.02,813.6,7.24,21.31,130,1.2,<5,48,220,270,630,20,0.033,3.2,0.69,3.9,0.53,2.1,150,23,16
FY11,8/31/2010,Routine Sample,7350,Fountain Creek,at Hwy 47,7.02,1083,7.01,24.69,190,1.8,<5,55,330,1100,3600,57,<0.03,1.5,0.61,2.1,0.34,3.5,240,17,81
FY11,9/9/2010,Routine Sample,7162,Cottonwood Creek,at Buena Vista,7.76,122.1,8.78,9.82,60,,<5,,52,68,320,3,<0.03,0.097,<0.1,,0.011,<1,8,<10,
FY11,9/13/2010,Routine Sample,8120A,S.F. Rio Grande River,South of Town of South Fork,9.06,70.05,7.86,16.17,34,,<5,,23,89,240,4,<0.03,<0.03,0.23,,0.043,<1,3,<10,
FY11,9/14/2010,Routine Sample,7227,St. Charles River,above Lake Isabel,7.34,55.25,8.61,11.32,28,,<5,,22,54,70,4,<0.03,<0.03,0.13,,<0.01,<1,5,15,
FY11,9/15/2010,Routine Sample,7501,Timpas Creek,near Rocky Ford,7.35,3329,6.41,16.9,240,,<5,,2000,<10,1400,67,<0.03,4.4,0.78,,0.049,24,1800,<10,
FY11,9/16/2010,Routine Sample,8375,Sangre de Cristo Creek,near Fort Garland,8.18,353,7.72,17.1,230,,<5,,200,14,500,400,<0.03,<0.03,0.19,,0.05,<1,15,<10,
FY11,9/20/2010,Routine Sample,5221,Big Dry Creek,near Ft. Lupton,8.1,1499,8.27,17.21,190,1.2,<5,120,290,70,440,100,0.59,5.6,1.6,7.2,1.41,1.6,220,25,15
FY11,9/20/2010,Routine Sample,5140,South Platte River,at Ft. Lupton,7.68,1062,6.64,18.06,160,1,<5,110,250,74,410,66,0.45,6.2,1.53,7.7,1.66,1.3,170,22,13
FY11,9/20/2010,Routine Sample,5138,South Platte River,at Weld CR 18,8.07,1086,9.16,18.9,170,1.1,5,110,260,60,360,52,0.13,5.9,1.15,7.1,1.53,1.2,180,22,16
FY11,9/20/2010,Routine Sample,5137,South Platte River,at Weld CR 28,8.38,1067,10.42,19.62,170,1.2,<5,100,260,40,590,41,0.083,5.7,0.98,6.6,1.34,1.2,170,20,23
FY11,9/20/2010,Routine Sample,130,South Platte River,near Platteville,8.56,1091,11.13,21.29,190,1.2,<5,120,270,34,560,55,<0.03,5,0.94,5.9,0.93,1,200,16,27
FY11,9/20/2010,Routine Sample,5416,Big Thompson River,"at I-25 Frontage Road, Loveland",8.43,783,9.52,19.66,130,<1,<5,17,300,19,500,17,<0.03,2,0.7,2.7,0.42,2.8,280,10,16
FY11,9/20/2010,Routine Sample,7808,Arkansas River,nr Lamar Hwy 50/287 bridge,7.98,3734,8.85,26.11,290,,<5,,1500,<10,530,120,0.15,1.6,0.68,,0.032,8.2,1800,<10,
FY11,9/21/2010,Routine Sample,5040,South Platte River,at Brush SWA,8.28,1911,8.3,21.41,270,1.3,<5,100,600,10,500,31,<0.03,4.1,0.59,4.7,0.38,3.3,570,<10,27
FY11,9/21/2010,Routine Sample,5030,South Platte River,at Messex SWA,8.03,1949,8.07,15.3,290,1.2,<5,96,640,<10,31,64,<0.03,3,0.4,3.4,0.18,3.8,660,<10,<10
FY11,9/21/2010,Routine Sample,5006,South Platte River,at Tamarack SWA,8.54,2033,10.58,18.81,280,2.2,6,130,700,<10,300,12,<0.03,1.9,0.44,2.3,0.12,2.5,860,<10,<10
FY11,9/21/2010,Routine Sample,5005,South Platte River,at Ovid,8.52,2245,9.65,20.23,270,2.2,<5,120,730,<10,420,10,<0.03,2.1,0.58,2.6,0.095,2.3,830,<10,16
FY11,9/21/2010,Routine Sample,7392,Severy Creek ,at mouth,7.26,59.25,9.01,7.61,21,,<5,,18,39,70,3,<0.03,0.12,0.26,,<0.01,<1,3,<10,
FY11,9/21/2010,Routine Sample,7380A,Monument Creek,at mouth,8.41,638.7,7.14,22.6,130,,<5,,180,26,990,4,0.048,3.4,0.72,,<0.01,2,100,37,
FY11,9/21/2010,Routine Sample,7549,Purgatoire River,at Hwy 101,7.67,3479,8.54,20.92,280,,<5,,1300,<10,360,180,<0.03,0.066,0.26,,0.022,2.5,1900,<10,
FY11,6/20/2011,Routine Sample,9245,Stollsteimer Creek,at Highway 151,8.21,954.7,10.09,20.35,210,<1,<5,17,420,20,96,29,<0.01,<0.02,0.3,0.3,0.038,<1,190,20,<10
FY11,6/20/2011,Routine Sample,CO072M,Junction Creek,at gage station,8.61,182.4,11.74,13.06,84,<1,<5,<1,89,<4,70,<2,<0.01,<0.02,<0.2,<0.2,0.015,<1,8,5,<10
FY11,6/21/2011,Routine Sample,WCOP99-0670,Lost Canyon Creek,1 mile from USFS Rd. 556,7.81,79.29,14.25,6.25,31,<1,43,<1,36,100,680,3,0.021,<0.02,0.74,0.74,0.026,<1,10,6,<10
FY11,6/21/2011,Routine Sample,DOLORES012,Roaring Forks Creek,at mouth,8.3,164.6,12.36,9.78,78,<1,59,1,80,29,220,2,<0.01,<0.02,0.26,0.26,0.023,<1,6,4,<10
FY11,6/21/2011,Routine Sample,DOLORES011,Rio Lado Creek,above confl with Dolores River,8.6,258.9,14.4,9.17,130,<1,33,<1,130,12,300,3,<0.01,<0.02,0.23,0.23,0.03,<1,7,5,<10
FY11,6/21/2011,Routine Sample,10742,Little Taylor Creek,above conf. with Taylor Creek,8.2,125.9,13.11,10.04,58,<1,19,<1,61,58,330,3,0.015,<0.02,0.45,0.45,0.027,<1,4,<4,<10
FY11,6/21/2011,Routine Sample,DOLORES007,Taylor Creek,50 yds above confl with Dolores R,8.09,114.4,10.54,12.53,52,<1,60,<1,54,56,430,4,0.021,<0.02,0.33,0.33,0.029,<1,4,<4,<10
FY11,6/21/2011,Routine Sample,WCOP04-R007,Yellow Jacket Creek,0.25 mile blw confluence w/ Risley Canyon,8.54,857.5,6.46,23.44,230,1.4,<5,19,380,16,2700,7,0.018,<0.02,0.7,0.7,0.11,<1,230,9,82
FY11,6/22/2011,Routine Sample,9895A,Unnamed Tributary,to Ritter Draw,7.86,315.2,8.95,12.62,150,<1,<5,7,170,60,550,11,0.023,0.023,0.5,0.53,0.091,<1,45,7,<10
FY11,6/22/2011,Routine Sample,9896A,McElmo Creek,above Vista Verde Outfall 001A,8.09,1790,7.94,14.88,180,<1,<5,24,760,23,910,11,0.014,0.047,0.65,0.7,0.045,<1,770,11,31
FY12,7/12/2011,Routine Sample,11375,Johnson Gulch,nr Craig,8.2,4655,7.55,16.35,470,,<5,,1800,88,190,27,<0.01,<0.02,0.98,,0.13,1.5,2200,24,
FY12,7/18/2011,Routine Sample,10649,Coal Creek,off Coal Creek Rd (above hydropower plant),8.21,182.8,14.41,12.98,87,<1,<5,<1,82,14,120,<2,0.027,<0.02,0.6,0.61,0.058,<1,6,6,<10
FY12,7/19/2011,Routine Sample,10981,Atkinson Creek,at Hwy 141,8.42,708.2,6.9,27.6,320,2.7,6,8,290,40,1300,38,0.078,0.061,0.97,1,0.077,<1,64,12,100
FY12,7/19/2011,Routine Sample,10905G,West Paradox Creek,at Cty Rd. U1,8.42,139.4,12.23,17.02,70,<1,<5,3,65,59,2100,11,0.035,0.028,0.41,0.44,0.09,<1,8,8,200
FY12,7/20/2011,Routine Sample,10874,Howards Fork,below Ophir,7.41,480.6,28.72,6.47,28,<1,17,3,220,1300,5300,470,0.033,0.1,<0.2,0.26,0.17,<1,210,270,100
FY12,7/20/2011,Routine Sample,10858,Fall Creek,at FR 618,8.42,265.5,9.31,14.18,95,<1,<5,<1,130,20,140,<2,0.025,<0.02,<0.2,<0.2,0.025,<1,36,16,<10
FY12,7/20/2011,Routine Sample,10860D,Specie Creek,near mouth off Rd M44,8.55,372.4,8.81,18.16,160,1.1,<5,5,170,48,650,4,0.023,<0.02,0.56,0.56,0.043,<1,26,10,22
FY12,7/21/2011,Routine Sample,10846,Dry Creek,at GG 25 Rd,8.2,603.4,7.61,20.2,100,1.9,8,12,190,27,9000,16,0.055,0.25,1.4,0.62,0.27,<1,180,13,330
FY12,7/21/2011,Routine Sample,10847,Maverick Draw,at 37.5 Rd.,8.69,1257,9.38,18.171,360,2.4,6,22,620,17,1900,260,0.036,0.021,0.95,0.97,0.19,<1,350,23,76
FY12,7/21/2011,Routine Sample,10860,McKenzie Creek,at mouth above confl. w/ San Miguel,8.31,542,6.69,20.44,240,<1,<5,6,250,14,140,11,0.025,<0.02,<0.2,<0.2,0.031,<1,35,14,<10
FY12,8/1/2011,Routine Sample,12202,Blacktail Creek,at Rd 212 crossing,7.92,134.2,,11.92,58,<1,<5,2,58,270,610,26,0.27,<0.02,0.22,0.22,0.045,<1,2,6,<10
FY12,8/1/2011,Routine Sample,12169,Rock Creek,at Rock Creek SWA near Toponas,7.66,67.64,,13.83,27,<1,<5,<1,25,170,530,12,0.022,<0.02,0.27,0.27,0.038,<1,2,<4,<10
FY12,8/1/2011,Routine Sample,12898A,Bear River,at Yampa Town Park,8.13,186.7,,13.05,85,<1,<5,<1,87,180,640,33,<0.01,0.039,0.29,0.33,0.064,<1,4,5,<10
FY12,8/1/2011,Routine Sample,12880,Service Creek,at Service Creek SWA,7.65,45.04,,15.84,18,<1,<5,<1,16,88,160,3,0.023,<0.02,<0.2,<0.2,0.024,<1,<2,<4,<10
FY12,8/2/2011,Routine Sample,12876,Trout Creek,at Cty. Rd. 179 near mouth,8.12,655.9,,17.39,150,<1,<5,3,290,150,900,23,0.046,<0.02,0.45,0.45,0.068,<1,<2,11,28
FY12,8/2/2011,Routine Sample,12854,Fish Creek,at 27 Rd.,8.42,715.6,,18.23,250,<1,<5,3,350,47,1300,43,0.027,0.022,0.43,0.45,0.12,<1,130,15,150
FY12,8/2/2011,Routine Sample,12853,Grassy Creek,at Rd 27A,,,,,59,1,<5,18,1500,21,790,99,0.042,1.5,0.63,2.2,0.094,4.2,<2,31,27
FY12,8/2/2011,Routine Sample,12895,Wolf Creek,at 52 Rd.,7.89,596.4,,17.89,200,<1,<5,6,290,58,150,60,0.028,<0.02,0.23,0.24,0.056,<1,87,12,<10
FY12,8/2/2011,Routine Sample,12867,Greenville Creek,above USFS boundary,7.99,203.5,,14.82,95,<1,<5,<1,96,24,600,4,0.019,<0.02,<0.2,<0.2,0.058,<1,3,43,38
FY12,8/3/2011,Routine Sample,12840,Elkhead Creek,at Hwy 40,8.14,210.7,,20.75,39,<1,<5,2,77,120,1800,34,0.03,<0.02,0.35,0.36,0.048,<1,22,10,16
FY12,8/3/2011,Routine Sample,12843A,Elkhead Creek,below Elkhead Reservoir,8.61,199.1,,20.2,65,<1,<5,2,73,98,1600,23,0.026,<0.02,0.35,0.36,0.045,<1,21,6,15
FY12,8/16/2011,Routine Sample,12856,Foidel Creek,at Road 33,8.38,2638,9.72,18.16,290,,<5,,1300,14,330,270,0.03,<0.02,0.44,,0.066,<1,1300,24,
FY12,8/17/2011,Routine Sample,12552,Gore Creek,at mouth near Minturn,8.24,244.4,8.34,12.74,80,,<5,,97,10,67,<2,0.014,0.25,<0.2,,0.013,<1,23,7,
FY12,8/17/2011,Routine Sample,12541,Beaver Creek,at Avon,8.17,196.4,8.04,14.72,63,,<5,,75,7,670,<2,<0.01,<0.02,<0.2,,<0.01,<1,25,4,
FY12,8/17/2011,Routine Sample,12118,Big Alkali Creek,at mouth,7.86,1793,7.67,17.35,200,,<5,,830,18,240,390,0.018,0.039,0.36,,0.01,2.5,800,43,
FY12,8/29/2011,Routine Sample,12809,Yampa River,U/S STAGECOACH RES @ CR16,8.64,323.5,8.22,16.89,140,,<5,,140,95,1500,8,0.017,<0.02,0.36,,0.087,<1,24,4,
FY12,8/31/2011,Routine Sample,115,Blue River,above Dillon Reservoir,8.25,163.8,8.73,9.65,,,<5,5,59,14,,7,<0.01,0.22,,,0.011,<1,17,55,
FY12,9/12/2011,Routine Sample,5920,Craig Creek,at Estabrook,7.7,40.61,9.34,8.64,16,<1,<5,<1,11,370,510,4,0.016,<0.02,<0.2,<0.2,,<1,<2,<4,<10
FY12,9/12/2011,Routine Sample,CO174M,Scott Gomer Creek,,,,,,20,<1,<5,<1,17,270,320,5,0.016,0.085,<0.2,<0.2,0.009,<1,5,<4,<10
FY12,9/12/2011,Routine Sample,5988B4,South Mosquito Creek,at mouth,8.54,307.7,8.29,8.17,87,<1,14,<1,150,470,590,150,0.017,0.07,<0.2,<0.2,0.012,<1,79,770,<10
FY12,9/13/2011,Routine Sample,5967,South Fork South Platte River,at Knight Imler SWA,8.45,345.8,8.29,9.27,130,<1,<5,2,160,150,460,22,0.017,<0.02,<0.2,<0.2,0.023,<1,41,12,<10
FY12,9/13/2011,Routine Sample,5966,South Fork South Platte River,at 63 Ranch Fishing Access Site,8.72,356.8,8.87,11.41,140,<1,<5,2,170,180,340,9,0.023,<0.02,<0.2,<0.2,0.018,<1,47,8,<10
FY12,9/13/2011,Routine Sample,USFSPIKE2,Rough and Tumbling Creek,"Park Co., CO",8.29,332.8,7.89,10.61,130,<1,<5,2,150,360,740,71,0.018,<0.02,<0.2,<0.2,0.042,<1,35,8,<10
FY12,9/14/2011,Routine Sample,5953,Middle Fork South Platte River,at Tomahawk SWA,,,,,100,<1,<5,4,130,51,120,10,0.017,<0.02,<0.2,<0.2,0.007,<1,33,17,<10
FY12,9/14/2011,Routine Sample,5945,South Platte River,near Cove Campground,,,,,100,<1,<5,54,140,34,75,66,0.031,0.028,0.31,<0.2,0.049,<1,57,7,<10
FY12,9/19/2011,Routine Sample,12900A,North Platte River,AT FR 896 W. of State Hwy 125,8.62,196.7,9.36,12.84,79,,<5,,70,120,510,14,<0.01,<0.02,<0.2,,0.027,<1,15,5,
FY12,9/19/2011,Routine Sample,12974,Little Grizzly Creek,at mouth,8.78,118.8,9.45,13.14,48,,<5,,42,200,700,19,<0.01,<0.02,0.21,,0.03,<1,8,<4,
